what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430889594930
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430889596606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430889597302
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430889601016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430889628619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430889999495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890001868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890021752
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430890024440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890026363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890029546
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430890032029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890032338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890035073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890037470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890038636
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430890038647
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430890040212
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430890042912
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/u/ECE385/ece385final/trunk/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1430890049104
error,log,,,"Downloading ELF Process failed",1430890049108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890049112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890050067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890052639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890127261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890129737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890130817
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430890130821
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430890132740
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430890133422
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430890137094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430890166398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891149609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891151621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891166850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430891167657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891169777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891172983
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430891174991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891175348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891178424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891187717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891189478
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430891189487
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430891191109
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430891191820
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430891195503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891251882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891493401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891495469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891505489
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430891506149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891508440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891511483
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430891515550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891515838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891525349
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430891527262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891527532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891536525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891539245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891539829
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430891539838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891541382
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430891541538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891544219
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430891544221
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430891544924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891581129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891916747
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430891917831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891918719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891936203
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430891936240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891940981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891942534
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430891944528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891944832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891947533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891949730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430891950672
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430891950682
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430891952299
